nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
PRESIDENT Fromage slice pizza,1,Produits Laitiers,5.230,,,,,Monoprix,Tunisie
PRESIDENT Fromage slice,1,Produits Laitiers,5.230,,,,,Monoprix,Tunisie
PRESIDENT Fromage slice,1,Produits Laitiers,5.230,,,,,Monoprix,Tunisie
DELICE Fromage frais,1,Produits Laitiers,5.390,,,,,Monoprix,Tunisie
CUISTOT Fromage fondu,1,Produits Laitiers,5.430,,,,,Monoprix,Tunisie
PRESIDENT Fromage rapé spécial grati,1,Produits Laitiers,5.450,,,,,Monoprix,Tunisie
PRESIDENT Fromage râpé,1,Produits Laitiers,5.450,,,,,Monoprix,Tunisie
PRESIDENT Fromage rapé spécial pizz,1,Produits Laitiers,5.450,,,,,Monoprix,Tunisie
PRESIDENT Fromage rapé spécial tajin,1,Produits Laitiers,5.450,,,,,Monoprix,Tunisie
PRESIDENT Fromage râpé,1,Produits Laitiers,5.650,,,,,Monoprix,Tunisie
DAILY Fromage fondu,1,Produits Laitiers,5.670,,,,,Monoprix,Tunisie
PRESIDENT Fromage frais,1,Produits Laitiers,5.690,,,,,Monoprix,Tunisie
MONT REGAL Fromage fondu râpé à la...,1,Produits Laitiers,5.690,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,5.760,,,,,Monoprix,Tunisie
PRESIDENT Fromage frais,1,Produits Laitiers,5.800,,,,,Monoprix,Tunisie
MAJESTE Fromage à la mozzarella,1,Produits Laitiers,5.820,,,,,Monoprix,Tunisie
KAISER Ricotte,1,Produits Laitiers,5.890,,,,,Monoprix,Tunisie
KAISER Mozzarella,1,Produits Laitiers,5.890,,,,,Monoprix,Tunisie
KAISER Ricotte,1,Produits Laitiers,5.990,,,,,Monoprix,Tunisie
MAJESTE Fromage gouda,1,Produits Laitiers,6.040,,,,,Monoprix,Tunisie
MAJESTE Fromage gruyère,1,Produits Laitiers,6.040,,,,,Monoprix,Tunisie
MAJESTE Fromage edam,1,Produits Laitiers,6.040,,,,,Monoprix,Tunisie
MAJESTE Préparation alimentaire à...,1,Produits Laitiers,7.290,6.190,,,,Monoprix,Tunisie
KAISER Fromage edam,1,Produits Laitiers,6.240,,,,,Monoprix,Tunisie
KAISER Fromage gouda,1,Produits Laitiers,6.240,,,,,Monoprix,Tunisie
KAISER Fromage gouda en cubes,1,Produits Laitiers,6.240,,,,,Monoprix,Tunisie
DELICE Fromage carré,1,Produits Laitiers,6.280,,,,,Monoprix,Tunisie
MAJESTE Fromage frais,1,Produits Laitiers,6.280,,,,,Monoprix,Tunisie
DELICE Ricotte,1,Produits Laitiers,6.390,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,6.600,,,,,Monoprix,Tunisie
FROMY PLUS Fromage fondu,1,Produits Laitiers,6.640,,,,,Monoprix,Tunisie
PRESIDENT Fromage râpé,1,Produits Laitiers,6.810,,,,,Monoprix,Tunisie
DANINO Fromage blanc,1,Produits Laitiers,6.830,,,,,Monoprix,Tunisie
KAISER Fromage rapé,1,Produits Laitiers,6.870,,,,,Monoprix,Tunisie
MILKANA Fromage fondu,1,Produits Laitiers,6.970,,,,,Monoprix,Tunisie
Fromage fondu,1,Produits Laitiers,6.990,,,,,Monoprix,Tunisie
MAJESTE Mozzarella,1,Produits Laitiers,7.340,,,,,Monoprix,Tunisie
SOUANI Fromage râpé,1,Produits Laitiers,7.490,,,,,Monoprix,Tunisie
MAJESTE Fromage gruyère,1,Produits Laitiers,7.810,,,,,Monoprix,Tunisie
SOUANI Fromage raclette en tranche,1,Produits Laitiers,7.860,,,,,Monoprix,Tunisie
MONTREGAL Préparation alimentaire...,1,Produits Laitiers,7.890,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,8.500,7.990,,,,Monoprix,Tunisie
KAISER Fromage à l'emmental,1,Produits Laitiers,8.070,,,,,Monoprix,Tunisie
DELICE Fromage mascarpone,1,Produits Laitiers,8.350,,,,,Monoprix,Tunisie
MAJESTE Fromage frais tarti doux,1,Produits Laitiers,9.440,7.390,,,,Monoprix,Tunisie
GOUTELA Préparation alimentaire,1,Produits Laitiers,8.590,,,,,Monoprix,Tunisie
SOUANI Mozzarella,1,Produits Laitiers,9.090,,,,,Monoprix,Tunisie
KAISER Ricotte,1,Produits Laitiers,9.120,,,,,Monoprix,Tunisie
TARTI'FRO Mozzarelle,1,Produits Laitiers,9.200,,,,,Monoprix,Tunisie
FROMY PLUS Fromage fondu,1,Produits Laitiers,9.220,,,,,Monoprix,Tunisie
MILKANA Fromage fondu,1,Produits Laitiers,9.590,,,,,Monoprix,Tunisie
PRESIDENT Fromage slice,1,Produits Laitiers,9.710,,,,,Monoprix,Tunisie
KAISER Fromage slice edam,1,Produits Laitiers,9.820,,,,,Monoprix,Tunisie
KAISER Fromage slice gouda,1,Produits Laitiers,9.820,,,,,Monoprix,Tunisie
